,label,id,source,num_users,max_depth,source_tweet,mean_time,median_time,max_time,topic_category,topic_name,start_time,root_user
0,True,551099691702956032,twitter15,119,2,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL,2.6396,2.05,8.12,Entertainment,True_Entertainment_59,2015-01-02 19:36:20+00:00,2883841
1,True,514106273852174337,twitter15,534,4,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,1.371599999999999,1.08,2.08,Terrorism & War,True_Terrorism & War_6,2014-09-22 17:37:41+00:00,14173315
2,True,509464457836511232,twitter15,286,3,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o",0.7088,0.67,1.24,Business,True_Business_8,2014-09-09 22:12:46+00:00,155620461
3,True,524312881823637504,twitter15,334,3,google south american goliath birdeater. helllll noooooo✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋,1.5745999999999998,1.59,2.88,Science & Technology,True_Science & Technology_3,2014-10-20 21:35:06+00:00,28638191
4,True,407254590363426816,twitter15,573,3,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL",0.9716,0.98,1.52,Entertainment,True_Entertainment_33,2013-12-01 21:07:15+00:00,22179997
5,True,524941504796962816,twitter15,384,4,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",0.7661999999999999,0.785,1.49,Terrorism & War,True_Terrorism & War_15,2014-10-22 15:13:02+00:00,6433472
6,True,525039784503541760,twitter15,830,7,"cpl. nathan cirillo pictured on the left, minutes before he was shot at the war memorial today. #cbcott #ottnews URL",1.692,1.715,2.93,Terrorism & War,True_Terrorism & War_35,2014-10-22 21:43:34+00:00,18999969
7,True,528237933661544448,twitter15,517,3,"fanged deer pops up in afghanistan, 60 years after its last appearance URL URL",1.3612,1.11,2.98,Science & Technology,True_Science & Technology_8,2014-10-31 17:31:52+00:00,2467791
8,True,524930671220105216,twitter15,199,5,developing news: soldier shot at war memorial. watch cbc nn for coverage. or follow online: URL URL,1.9964000000000004,2.095,3.18,Terrorism & War,True_Terrorism & War_12,2014-10-22 14:29:59+00:00,24000965
9,True,407182466613792768,twitter15,229,3,"fan of ""fast & furious"" actor paul walker shocked by his death as memorial grows URL URL",3.4016,3.265,6.99,Entertainment,True_Entertainment_10,2013-12-01 16:20:39+00:00,17379685
10,True,536962520477470720,twitter15,270,5,that powerful letter from lego to parents from the 1970s? it's real URL URL,2.9218,2.855,6.85,Education,True_Education_5,2014-11-24 19:20:15+00:00,16973333
11,True,524965786059026432,twitter15,97,2,"breaking news: one soldier has died after ottawa shooting, suspect(s) still at large - URL",1.8102,1.3,4.0,Terrorism & War,True_Terrorism & War_23,0,292777349
12,True,554722567224049664,twitter15,213,2,"saudi cleric proclaims snowman-building 'anti-islamic' (photos, video) URL URL",2.872799999999998,2.82,4.97,Others,True_Others_0,2015-01-12 19:32:20+00:00,64643056
13,True,527308173112139776,twitter15,155,3,matt taibbi has left first look media. sorry to see him go. a great talent and we wish him well. URL,4.3942000000000005,3.58,8.83,Entertainment,True_Entertainment_41,0,749963
14,True,407217471473451008,twitter15,105,2,"paul walker's death keeps getting more ironic... the driver, roger rodas, was a former racecar driver #rip URL",4.3702,3.26,11.25,Entertainment,True_Entertainment_23,0,582348811
15,True,407176055657484289,twitter15,139,4,"the last photo of paul walker, taken just before the crash that killed him. rip URL",3.730600000000001,3.61,6.22,Entertainment,True_Entertainment_7,2013-12-01 15:55:11+00:00,126903716
16,True,551106923601219585,twitter15,561,3,"goodbye elly may: 'beverly hillbillies' star donna douglas dead at 81, reports say. URL URL",1.567,1.6349999999999998,3.42,Entertainment,True_Entertainment_61,2015-01-02 20:05:04+00:00,1367531
17,True,514098833253748736,twitter15,197,5,"breaking: 3 missing afghan soldiers have been found trying to cross the border into canada, senior law enforcement source tells nbc news",2.2265999999999995,1.97,3.02,Terrorism & War,True_Terrorism & War_5,2014-09-22 17:08:08+00:00,8839632
18,True,552498516225179650,twitter15,416,3,this dog was abandoned at a scottish railway station with a suitcase full of his belongings URL URL,1.6342,1.475,4.66,Natural Disasters,True_Natural Disasters_2,2015-01-06 16:14:45+00:00,5695632
19,True,509464217549021184,twitter15,180,3,"report: microsoft trying to buy mojang, creators of minecraft URL",2.1184,2.35,3.37,Business,True_Business_6,2014-09-09 22:11:49+00:00,11928542
20,True,532197572698320896,twitter15,175,3,sugarhill gang's big bank hank dies -- dead at 57 from cancer URL,2.2664,2.185,4.62,Entertainment,True_Entertainment_49,2014-11-11 15:46:03+00:00,16331010
21,True,534205316620382208,twitter15,176,3,disease spread by bugs that bite your face as you sleep is found in the us URL URL,2.2522,2.42,3.93,Health,True_Health_10,0,292777349
22,True,552457656666185728,twitter15,345,3,this dog was abandoned at a scottish railway station with a suitcase full of his belongings URL URL,2.9056000000000006,2.77,4.87,Urban Legends,True_Urban Legends_5,2015-01-06 13:32:24+00:00,1068121346
23,True,407184707118309376,twitter15,444,2,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL",1.3908000000000005,1.27,2.07,Entertainment,True_Entertainment_11,2013-12-01 16:29:33+00:00,2883841
24,True,538408710084001793,twitter15,1458,6,a pregnant woman has lost her eye after being shot with bean bag by police in ferguson: URL URL,3.5840000000000005,2.125,17.65,Terrorism & War,True_Terrorism & War_37,2014-11-28 19:06:54+00:00,16630362
25,True,536827853669941248,twitter15,248,6,lego letter from the 1970s still offers a powerful message to parents 40 years later URL URL,3.185200000000001,2.87,6.03,Education,True_Education_4,2014-11-24 10:25:08+00:00,16973333
26,True,407197113286545409,twitter15,392,3,paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence? i think not,1.3921999999999997,1.3,1.86,Entertainment,True_Entertainment_17,2013-12-01 17:18:51+00:00,278122965
27,True,507263441359613953,twitter15,168,3,#tesla reportedly selects nevada to build massive $5 billion battery plant URL via @foxcarreport URL,2.8222,2.08,5.76,Business,True_Business_3,2014-09-03 20:26:43+00:00,1367531
