,user_id,name,username,following_agentid_list,previous_tweets,user_char,description
0,38210037,user_0,user0,[],[],Lecturer in Healthcare Marketing and Commercialisation at UCL Global Business School for Health,Lecturer in Healthcare Marketing and Commercialisation at UCL Global Business School for Health
1,36212060,user_1,user1,[32],[],"✩ 🇬🇾🍉 I dance on tiktok, and cry in bed","✩ 🇬🇾🍉 I dance on tiktok, and cry in bed"
2,282859010,user_2,user2,[32],[],Cook.Ride.Explore.,Cook.Ride.Explore.
3,33961330,user_3,user3,[32],[],"Software engineer at @stockx, music lover, whiskey aficionado, book reader, proud @oaklandu alum.","Software engineer at @stockx, music lover, whiskey aficionado, book reader, proud @oaklandu alum."
4,21687246,user_4,user4,[],[],Social Media Strategist 🧠 I Coach 👩🏻‍💻 I Consultant 🤝,Social Media Strategist 🧠 I Coach 👩🏻‍💻 I Consultant 🤝
5,2125671,user_5,user5,[],[],,
6,429707643,user_6,user6,[],[],,
7,446811905,user_7,user7,[32],[],,
8,18138649,user_8,user8,[32],[],"Jill of all Trades for TV/Film (create, write, produce, consult) currently w/Netflix ... writer, Christian, educator, cat mom, Townie & one girl revolution","Jill of all Trades for TV/Film (create, write, produce, consult) currently w/Netflix ... writer, Christian, educator, cat mom, Townie & one girl revolution"
9,14529063,user_9,user9,[32],[],"Beach bum, web developer, nerd 🤓, crocheter, avid reader 📚, a singer in the shower, a notorious heart breaker. I blog about books @ https://t.co/JjnKtEnq4R","Beach bum, web developer, nerd 🤓, crocheter, avid reader 📚, a singer in the shower, a notorious heart breaker. I blog about books @ https://t.co/JjnKtEnq4R"
10,837677670,user_10,user10,[103],[],Chef de projet senior l'@AcademieService - #Relationclient #Management #CultureService #Digital #CustExp #theatre,Chef de projet senior l'@AcademieService - #Relationclient #Management #CultureService #Digital #CustExp #theatre
11,124851931,user_11,user11,[32],[],"Game Dev.  (Re)Tweets feature Tech, IndieDev, Start-ups, Renewables, Film, T.V., Books & Jokes.
Views do not represent the views of my employer.","Game Dev.  (Re)Tweets feature Tech, IndieDev, Start-ups, Renewables, Film, T.V., Books & Jokes.
Views do not represent the views of my employer."
12,31734795,user_12,user12,[32],[],"Doctor of Pharmacy, iPhotographer, Vegan; Fierce Lover of Literature, the Arcane and Esoteric. INTJ.","Doctor of Pharmacy, iPhotographer, Vegan; Fierce Lover of Literature, the Arcane and Esoteric. INTJ."
13,14934122,user_13,user13,[32],[],"Manager, Media Sales @expedia / marketing pro / technology freak / travel enthusiast / full time father / devoted husband / crazed @seahawks fan, normal dude","Manager, Media Sales @expedia / marketing pro / technology freak / travel enthusiast / full time father / devoted husband / crazed @seahawks fan, normal dude"
14,105779761,user_14,user14,[32],[],,
15,2788072188,user_15,user15,[],[],we’ll catch each other in another life 🍉🇵🇸,we’ll catch each other in another life 🍉🇵🇸
16,268065930,user_16,user16,[32],[],"West Leyden High School Librarian, District # 212/ AISLE 2019 School Librarian of the Year & AISLE President https://t.co/qOgSrNCW2N","West Leyden High School Librarian, District # 212/ AISLE 2019 School Librarian of the Year & AISLE President https://t.co/qOgSrNCW2N"
17,35654766,user_17,user17,[32],[],"@ohiostate alumni. High tech marketer, salon entrepreneur, & web design enthusiast. Fashion & food are my passions. Views are my own.","@ohiostate alumni. High tech marketer, salon entrepreneur, & web design enthusiast. Fashion & food are my passions. Views are my own."
18,16509845,user_18,user18,[32],[],Answers you want. Content for days. What more could you Ask for?,Answers you want. Content for days. What more could you Ask for?
19,2531945155,user_19,user19,[32],[],"manager in billionaires club.,....also a scientist.....biochemist and pharmacist!","manager in billionaires club.,....also a scientist.....biochemist and pharmacist!"
20,18242160,user_20,user20,"[55, 32]",[],"Buchautor, webworker, Blogger, Onlineshop SEO, OnlineMarketing","Buchautor, webworker, Blogger, Onlineshop SEO, OnlineMarketing"
21,16529278,user_21,user21,[32],[],"Host, Journalist, Proud Mom Facebook:https://t.co/xRqGR8uDfB Website:https://t.co/ncPENKuiBd","Host, Journalist, Proud Mom Facebook:https://t.co/xRqGR8uDfB Website:https://t.co/ncPENKuiBd"
22,158743792,user_22,user22,[],[],Human after all.,Human after all.
23,48005920,user_23,user23,[32],[],Chief Media Strategist,Chief Media Strategist
24,15182691,user_24,user24,[],[],Avid lols trader. Prone to philosophical seizures. Usually types before thinking.,Avid lols trader. Prone to philosophical seizures. Usually types before thinking.
25,187260439,user_25,user25,[32],[],,
26,127677830,user_26,user26,[32],[],"NY native, dog park lurker, gin enthusiast","NY native, dog park lurker, gin enthusiast"
27,103352503,user_27,user27,[32],[],I'll Tweet my life sometimes ....I'll tweet what seems cool... I tweet massive amounts that was my WARNING lol Gaming Sports Music Fashion,I'll Tweet my life sometimes ....I'll tweet what seems cool... I tweet massive amounts that was my WARNING lol Gaming Sports Music Fashion
28,61209773,user_28,user28,"[32, 21]",[],The Greatest Affirmation of Life: Embracing the Inevitability. Turning the flight from death into the pursuit of life. May we always remember.  ~ Sunny ❤,The Greatest Affirmation of Life: Embracing the Inevitability. Turning the flight from death into the pursuit of life. May we always remember.  ~ Sunny ❤
29,802812852,user_29,user29,[32],[],,
30,2327585502,user_30,user30,[],[],"Lead PM for AI @Zapier. Co-founder @cocoNFT (acquired). NYer at heart. Beautiful BC since 2012. Lover of all things tech, food, and dogs. He/him","Lead PM for AI @Zapier. Co-founder @cocoNFT (acquired). NYer at heart. Beautiful BC since 2012. Lover of all things tech, food, and dogs. He/him"
31,385873148,user_31,user31,[32],[],#Innovation tweets,#Innovation tweets
32,972651,user_32,user32,[21],"['report: amazon plans to open its first physical store, in new york URL']",Mashable is for superfans. We're not for the casually curious. Obsess with us.,Mashable is for superfans. We're not for the casually curious. Obsess with us.
33,487686275,user_33,user33,[],[],*reposts lots of random stuff: you were warned*,*reposts lots of random stuff: you were warned*
34,69935800,user_34,user34,[32],[],"Tu contacto en Las Vegas, escríbeme! | | #Localguides | Look my pics 👉 #CetyTour #CetyPhoto | Instagram: Cety. ☺📷","Tu contacto en Las Vegas, escríbeme! | | #Localguides | Look my pics 👉 #CetyTour #CetyPhoto | Instagram: Cety. ☺📷"
35,27519265,user_35,user35,[],[],"Advanced Dex Trading System BullX : https://t.co/Y3z31E2Evd
Trojan Solana : https://t.co/wKyxQAh04E","Advanced Dex Trading System BullX : https://t.co/Y3z31E2Evd
Trojan Solana : https://t.co/wKyxQAh04E"
36,97781259,user_36,user36,[32],[],"I love music. W/ American Military, fave b Marines. Defense Industries. Space Industries. Cyborgdyne Systems. Praise The Lord #Livestrong #FallonTonight 🎾🏀","I love music. W/ American Military, fave b Marines. Defense Industries. Space Industries. Cyborgdyne Systems. Praise The Lord #Livestrong #FallonTonight 🎾🏀"
37,39603334,user_37,user37,[32],[],"Assistant Professor at St. John Fisher College | #PR #Media #Communication | @FredoniaU & @NYUniversity Grad | Mom, Wine, travel, #FLX #ROC","Assistant Professor at St. John Fisher College | #PR #Media #Communication | @FredoniaU & @NYUniversity Grad | Mom, Wine, travel, #FLX #ROC"
38,23508588,user_38,user38,[],[],,
39,244185372,user_39,user39,[32],[],CEO @HisaApp | @JukwaaSports | Not Financial Advice,CEO @HisaApp | @JukwaaSports | Not Financial Advice
40,2809464808,user_40,user40,"[32, 67]",[],Marketing and Behavioral Research Enthusiast.,Marketing and Behavioral Research Enthusiast.
41,22720314,user_41,user41,[32],[],"Digital marketer. Love a good story, learning new things, funny stuff.","Digital marketer. Love a good story, learning new things, funny stuff."
42,966316886,user_42,user42,[],[],Top trending sci-tech news stories on Twitter with related tweets from top verified users.,Top trending sci-tech news stories on Twitter with related tweets from top verified users.
43,279029242,user_43,user43,[32],[],"Markets & Fintech @ Macro Gravity. Observations, not advice 🇬🇷 🇺🇸 🇪🇺","Markets & Fintech @ Macro Gravity. Observations, not advice 🇬🇷 🇺🇸 🇪🇺"
44,24009194,user_44,user44,[32],[],Peace & Love ✌🏾💉💊,Peace & Love ✌🏾💉💊
45,2373814405,user_45,user45,[32],[],Traveling storyteller | web professional | owner of Sass Mugs https://t.co/Jb7vbHTsbq☕ | The Daily: https://t.co/50CbtxzawG  Instagram:@TravelBlonde,Traveling storyteller | web professional | owner of Sass Mugs https://t.co/Jb7vbHTsbq☕ | The Daily: https://t.co/50CbtxzawG  Instagram:@TravelBlonde
46,14327196,user_46,user46,[32],[],"Digital strategy consultant; retail and brands; passionate about data, tech & CX in eBiz. Love coffee, cycling and SaintsFC. https://t.co/7WKZBsBvbX","Digital strategy consultant; retail and brands; passionate about data, tech & CX in eBiz. Love coffee, cycling and SaintsFC. https://t.co/7WKZBsBvbX"
47,177300767,user_47,user47,[32],[],"Official technology service provider of electrical industry. Founded by NAED & NEMA. Tweets about eBusiness,  industry news, our products & partners.","Official technology service provider of electrical industry. Founded by NAED & NEMA. Tweets about eBusiness,  industry news, our products & partners."
48,426090051,user_48,user48,[32],[],@LinkedIn. Traveler. Excessive coffee drinker.,@LinkedIn. Traveler. Excessive coffee drinker.
49,50441206,user_49,user49,[32],[],Bringing back legendary composers with AI #classicalregenerated,Bringing back legendary composers with AI #classicalregenerated
50,15197548,user_50,user50,[32],[],"Husband and father of three. Software developer, agilist, scrum advocate. PSM Level I","Husband and father of three. Software developer, agilist, scrum advocate. PSM Level I"
51,239145704,user_51,user51,[32],[],Ma règle de base c'est d'être unique et différent. Car plus tu es différent  plus tu deviens unique d'avoir autant de différences,Ma règle de base c'est d'être unique et différent. Car plus tu es différent  plus tu deviens unique d'avoir autant de différences
52,7890312,user_52,user52,[32],[],"@BU_Tweets Grad and Client Educator @basisglobaltech. Passionate about @shetribe_, #neuroscience, #education, and the #PNW.","@BU_Tweets Grad and Client Educator @basisglobaltech. Passionate about @shetribe_, #neuroscience, #education, and the #PNW."
