,Unnamed: 0,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,category,tweets_id,user_char,activity_level_frequency,activity_level
0,0,0,Ask.com,AskDotCom,Answers you want. Content for days. What more could you Ask for?,2008-09-29 10:08:33+00:00,56999,3252,[2],[],[],Business,6998524,Answers you want. Content for days. What more could you Ask for?,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
1,1,1,Betty Nguyen,Betty_Nguyen,"Host, Journalist, Proud Mom Facebook:https://t.co/xRqGR8uDfB Website:https://t.co/ncPENKuiBd",2008-09-30 15:42:26+00:00,29093,269,[2],[],[],Business,6998524,"Host, Journalist, Proud Mom Facebook:https://t.co/xRqGR8uDfB Website:https://t.co/ncPENKuiBd","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
2,2,2,Mashable,mashable,Mashable is for superfans. We're not for the casually curious. Obsess with us.,2007-03-12 01:28:01+00:00,9035740,2631,[1],[],"['report: amazon plans to open its first physical store, in new york URL']",Business,6998524,Mashable is for superfans. We're not for the casually curious. Obsess with us.,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
3,3,3,SMO Booth,smobooth,"#SocialMedia Experts in #Digital #Marketing, #Online #Advertising, #Branding, #Web #Strategy, #SMO #SEO | #Facebook #Twitter #YouTube | RTs are not endorsements",2011-11-07 13:42:20+00:00,20090,130,[2],[],[],Business,6998524,"#SocialMedia Experts in #Digital #Marketing, #Online #Advertising, #Branding, #Web #Strategy, #SMO #SEO | #Facebook #Twitter #YouTube | RTs are not endorsements","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
4,4,4,Sacani (Space Today) - AKA Gordão Foguetes,SpaceToday1,"Site/Blog de notícias científicas focado principalmente em astronomia, astronáutica, astrofísica, física e os demais mistérios do universo. Sérgio Sacani",2011-07-19 12:38:13+00:00,464847,6818,[5],[],[],Business,9336037,"Site/Blog de notícias científicas focado principalmente em astronomia, astronáutica, astrofísica, física e os demais mistérios do universo. Sérgio Sacani","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
5,5,5,The Wall Street Journal,WSJ,Sign up for our newsletters and alerts: https://t.co/QevH0DLisA | Got a tip? https://t.co/iXIigdOLPr | For WSJ customer support: https://t.co/DZgH9n4vAI,2007-04-01 06:22:13+00:00,20622965,1088,[],[],"[""amazon's physical store in nyc would offer same-day delivery, pickups and dropoffs. URL URL""]",Business,9336037,Sign up for our newsletters and alerts: https://t.co/QevH0DLisA | Got a tip? https://t.co/iXIigdOLPr | For WSJ customer support: https://t.co/DZgH9n4vAI,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
6,6,6,Antonio Altamirano,antonio,"Creating technology & content that is reaching millions. Digital Strategist for Pres. Biden. Immigrant, LatinX, Jewish #ThisIsAmerica",2006-11-05 23:04:27+00:00,25037,5069,[5],[],[],Business,9336037,"Creating technology & content that is reaching millions. Digital Strategist for Pres. Biden. Immigrant, LatinX, Jewish #ThisIsAmerica","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
7,7,7,Claudia Costin,ClaudiaCostin,"Professora universitária FGV e Harvard, ex-diretora de Educação do Banco Mundial, presidente do Instituto Singularidades.",2009-07-04 22:09:33+00:00,93326,4798,[5],[],[],Business,9336037,"Professora universitária FGV e Harvard, ex-diretora de Educação do Banco Mundial, presidente do Instituto Singularidades.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
8,8,8,TMZ,TMZ,Breaking entertainment news as it happens.,2008-09-17 15:50:22+00:00,7793352,930,[],[],['raven symone blasts bill cosby rape story URL URL'],Entertainment,4488876,Breaking entertainment news as it happens.,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
9,9,9,Big7 Newark illustrated Ceo,iamBig7,Own @Time2grindradio Mon/Wed/Fri 7pm est Artist @Trece7ev #NIMG / https://t.co/EhiifUJsCz,2009-01-21 04:56:43+00:00,319763,128611,[8],[],[],Entertainment,4488876,Own @Time2grindradio Mon/Wed/Fri 7pm est Artist @Trece7ev #NIMG / https://t.co/EhiifUJsCz,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
